RSSI_AVG,RSSI_MIN,RSSI_MAX,RSSI_range,RSSI_STD,blckRate,pcktTime,badNode,Node
-79.60741999999999,-85.0482,-70.8658,14.182400000000001,5.1262490569226165,0.625,0.9598709421599998,0,3
-84.17145,-86.6107,-81.7322,4.878499999999988,2.439249999999994,0.25,0.6380601085139999,0,1
-66.60855714285714,-70.9984,-59.9378,11.0606,4.252854392004486,0.875,0.9677914145299997,0,2
-77.14755,-79.7474,-73.8775,5.869900000000001,2.1748823749803137,1.0,0.9632325452270001,0,1
-69.56894285714286,-82.0521,-63.6531,18.398999999999994,6.907693359654899,0.875,0.9576089705490003,0,2
-66.97571250000001,-75.5382,-62.2617,13.276500000000006,4.772923447803637,1.0,0.9748166511359999,0,3
-78.42365,-84.4312,-65.4731,18.9581,7.1586544479974235,0.75,0.9437084035419998,0,3
-62.090199999999996,-70.1051,-55.7483,14.356799999999993,4.428949697445206,1.0,0.9540756527800003,0,2
-80.62204285714286,-84.1526,-74.7198,9.4328,3.574494423334436,0.875,0.9836726841480004,0,1
-70.19327142857142,-81.8361,-60.3226,21.5135,6.254331447819477,0.875,0.6582069042400001,0,2
-75.9356142857143,-78.6398,-66.4375,12.202299999999994,3.932305855866457,0.875,0.6656019673600007,0,3
-81.1055875,-83.8474,-79.2641,4.583299999999994,1.8338354223031441,1.0,0.9337723450209996,0,1
-55.939712500000006,-61.4739,-52.0897,9.3842,4.196770224660118,1.0,0.9438674094259998,0,2
-82.3619,-84.5992,-79.0204,5.578800000000001,1.7894916736324873,0.75,0.9673170759169993,0,3
-81.60951666666666,-84.1695,-80.0407,4.128799999999998,1.3258747168274312,0.75,0.6765819307929997,0,1
-68.46363333333335,-77.1931,-56.0658,21.127299999999998,8.461817238171848,0.75,0.9531521739570001,0,2
-73.0957875,-76.6982,-69.1212,7.576999999999998,2.7853542361957757,1.0,0.9341876418550008,0,3
-80.87808,-83.6957,-78.5831,5.1126000000000005,1.8874063806186516,0.625,1.5791854917920007,0,1
-66.10775,-68.7061,-59.277,9.429100000000005,3.142437877800186,0.75,0.9581724309409996,0,2
-77.7827375,-81.3709,-71.4982,9.872700000000009,3.885413959585745,1.0,0.3080993324109995,0,1
-69.48668333333333,-78.7242,-63.1974,15.526799999999994,6.618512840867065,0.75,1.6017541943299989,0,3
-61.79678749999999,-67.4162,-59.3271,8.089100000000002,2.2186517507472314,1.0,0.9635927083810003,0,2
-86.6126,-86.6126,-86.6126,0.0,0.0,0.125,1.0173547344689995,0,1
-75.75123749999999,-80.1192,-73.2842,6.835000000000008,2.4771598217199777,1.0,0.6328834033090001,0,3
-77.546375,-80.8232,-73.424,7.399199999999993,3.0619102745467566,1.0,0.6406199995650006,0,3
-58.1190375,-69.0451,-54.8524,14.192700000000002,4.63465335136769,1.0,0.9624926520860004,0,2
-83.86623333333334,-84.2963,-83.3279,0.9684000000000026,0.40269168796432436,0.375,0.9260121495179998,0,1
-77.97855714285716,-86.6032,-71.8174,14.785799999999995,4.880191055644423,0.875,0.6557815872460004,0,3
-63.061437500000004,-74.2491,-56.1781,18.070999999999998,8.044686693392338,1.0,0.6580242842640001,0,2
-85.0343,-86.7982,-83.3279,3.4702999999999946,1.2811406382595152,0.5,0.9481955855110016,0,1
-57.952475,-60.3455,-55.9845,4.361000000000004,1.482790376916104,1.0,0.9509855569759988,0,2
-71.16274999999999,-74.7071,-68.8424,5.864699999999999,1.9140918610401114,1.0,0.9588178567099988,0,3
-85.73516666666667,-86.9769,-85.1143,1.8626000000000005,0.8780380604253759,0.375,0.6484169182769985,0,1
-71.94940000000001,-82.9822,-60.403,22.579200000000007,9.033872322680901,1.0,0.9489072627780004,0,3
-58.541475000000005,-62.0918,-56.1866,5.905200000000001,2.146698110907773,1.0,0.9659576568840009,0,2
-75.49198333333334,-78.2244,-73.2601,4.964300000000009,1.860577341773845,0.75,1.605414242209001,0,1
-68.18995714285714,-77.5587,-64.9975,12.5612,4.011937708837445,0.875,8.961183595856,0,5
-62.330600000000004,-72.3381,-52.1996,20.1385,8.409164638060073,1.0,0.9409715504560001,0,2
-76.83061428571428,-85.2232,-70.8658,14.357400000000013,6.622222622229442,0.875,0.965012492835001,0,3
-79.07724999999999,-81.8069,-75.2016,6.6053,2.5018384185434517,0.5,7.9979643928640005,1,7
-57.617525,-67.3163,-51.7592,15.557099999999998,5.211967970150526,1.0,0.9560123203700002,0,2
-68.3743,-69.8927,-67.3961,2.496600000000001,1.050134877051514,0.5,0.9661941643949987,0,3
-75.33576428571428,-78.1455,-73.6251,4.520399999999995,1.5130860109662074,1.75,1.303963527213,0,1
-63.93805,-68.5979,-60.6535,7.944399999999995,3.151729529163311,1.0,0.6554224724359994,0,2
-77.58601999999999,-85.4672,-70.0366,15.430599999999998,6.465552719574717,0.625,0.6647282481740007,0,3
-77.26355714285715,-86.6329,-71.9646,14.668300000000002,5.0376271522718055,0.875,1.2232429786539996,0,1
-65.4893125,-69.4971,-62.7677,6.729400000000005,2.591506344019586,1.0,0.9534921913709997,0,2
